MDS1,MDS2
6196.647519535752,-9029.269028282646
7390.534508743185,-7304.891397424735
5961.3154239781215,-7488.651193084961
5194.902065450338,-6601.2676993698
5504.758072879262,-6504.522828903029
5093.141295298652,-6541.85120424065
4909.86966391349,-6176.671316993944
5084.8215034020095,-6109.42181876533
5101.416204009576,-5757.70214313879
4905.417281168669,-5717.588431716771
4658.788843941546,-5698.156753435934
4701.342431780553,-5337.32151761904
4709.156604889462,-5348.406109764939
4617.754178610311,-5315.551868934354
4575.829237249028,-5368.266864203851
4527.591114621981,-5347.900491634673
4589.561634776169,-5222.881049187407
4592.027334352218,-5233.9128418408745
4478.070435117336,-5235.23973594897
4516.92198930883,-5137.440905024955
4375.9836550375485,-5217.4611355246025
4292.192584552319,-4970.28880389022
3923.7452363934576,-4866.337900460838
4110.910713704303,-4788.960557605799
4050.448047698025,-4837.605602662471
4058.5658825651035,-4808.88452001397
4083.0300544166867,-4706.62268575916
4032.746895072662,-4775.498810284584
3943.7071911920916,-4690.131884963711
4067.587996859334,-4658.013309858219
3947.0970844636977,-4642.935991993571
3888.083218423347,-4593.4443050480595
3952.628601339086,-4558.666863228918
3953.249661011511,-4535.856450606365
3829.7972051855486,-4530.190799944555
3816.7292812881697,-4511.716530245255
3822.618979480647,-4381.249988519437
3788.906790001601,-4405.189941416311
3784.3035441504358,-4423.001300172312
3776.2703387130005,-4456.952735946846
3775.0946938423167,-4371.498367274223
3761.8511987959305,-4458.245928711724
3772.2532768308383,-4273.325853074187
3720.934802475148,-4197.626012086256
3750.739085597002,-4329.4298223586975
3700.8753836167866,-4202.987762856971
3611.7679687100417,-4177.096363268208
3629.5415381992084,-4174.904862136111
3633.3057113826935,-4022.979336763823
3685.0438681762066,-4144.975264713919
3616.9784943817235,-4105.340830915415
3619.7326721604454,-4145.210401642928
3603.3590415271033,-4087.268228539535
3552.103968875456,-4098.082388560324
3565.7332649116133,-4018.609912109596
3513.5307384368875,-4003.129950834806
3461.784016117919,-3955.762735134179
3507.612888375397,-4093.9599610246305
3490.1047629741156,-3898.5421002645603
3467.3849083656937,-3896.028353939917
3407.263469483919,-3831.169379557072
3398.2918060191464,-3865.4935739681864
3368.2817976686724,-3862.3526595528733
3382.743174191644,-3694.50672192824
3360.2793995810557,-3757.5101427295485
3329.557727461333,-3828.9262060887295
3264.5604124990286,-3698.6744302379534
3304.167040957098,-3764.7480400000427
3268.8492711890613,-3637.2627905605914
3251.7167996690932,-3620.1963721451075
3205.751968453015,-3654.227761335847
3174.708989439167,-3623.0641271256486
3176.910092388982,-3527.551161345118
3173.0845750483886,-3585.342853490828
3164.189773978314,-3546.8956133111096
3158.1013913760503,-3532.2252887677732
3174.1404873122992,-3538.1057346506655
3116.901136164518,-3496.8761795830756
3056.912552207503,-3476.2118050869367
3034.174709639854,-3465.2079987991506
3084.014632496656,-3445.6692932119954
3024.886112013826,-3458.1837368133347
2947.8569716031416,-3351.7424136697337
2993.473466909017,-3422.8226595646915
2882.8770004255357,-3371.5496022351604
2939.6650517514922,-3370.3526369629067
2760.6933679296153,-3347.446429747889
2952.748250249433,-3201.919410410032
2934.3808125916935,-3204.0200525688547
2898.7285982738154,-3311.082473415997
2992.8679578998594,-3305.5889342530845
2953.0916129058514,-3286.7792453972806
2900.122872026933,-3224.7510158959144
