tSNE1,tSNE2
17.169342,-7.182436
17.118029,-7.1652026
16.99643,-7.107324
16.639696,-6.951359
16.68421,-6.9700346
16.586918,-6.9332147
16.362785,-6.8550634
16.400206,-6.8670316
16.225904,-6.813488
16.10449,-6.7718105
15.96429,-6.7328353
15.726092,-6.666235
15.739029,-6.669384
15.65477,-6.6483183
15.668702,-6.652673
15.6154175,-6.6405745
15.544938,-6.6247354
15.557339,-6.6273985
15.467331,-6.6137147
15.388106,-6.5909567
15.345536,-6.582505
14.950091,-6.5113597
14.309897,-6.3598633
14.435085,-6.385653
14.437525,-6.3898997
14.387943,-6.371719
14.244433,-6.3392076
14.297934,-6.354804
14.005269,-6.278076
14.141297,-6.3138046
13.923067,-6.260264
13.75632,-6.2159853
13.790844,-6.222384
13.745558,-6.2032886
13.546266,-6.1540184
13.483901,-6.1275563
13.1816845,-6.046967
13.16727,-6.040785
13.210998,-6.047148
13.271655,-6.0669384
13.069111,-6.01171
13.236341,-6.063585
12.817778,-5.9350657
12.502276,-5.8434815
12.909725,-5.9673953
12.472521,-5.836556
12.445127,-4.797282
12.434542,-4.82359
11.79277,-5.618011
12.314697,-5.7876654
12.004819,-5.6911817
12.137663,-5.733403
11.917059,-5.660363
11.800574,-5.6253467
11.597065,-5.5499034
11.402528,-5.4842014
11.126374,-5.392261
11.660936,-5.5804553
11.026415,-5.3599935
10.942501,-5.3363347
10.555116,-5.2075033
10.634051,-5.2360806
10.544842,-5.2040825
10.003556,-5.0189695
10.13825,-5.070058
10.2998,-5.1227984
9.646766,-4.9014983
10.00003,-5.019348
9.453818,-4.837025
9.347436,-4.7986917
9.32231,-4.790636
9.102236,-4.7247515
8.756215,-4.613194
8.962398,-4.6775756
8.792101,-4.624552
8.709841,-4.6003046
8.793182,-4.6249113
8.426598,-4.502139
8.124454,-4.4117885
7.9997516,-4.3820405
8.107621,-4.4204435
7.939678,-4.377791
7.27198,-4.2345943
7.702277,-4.3313255
7.138733,-4.2082334
7.315216,-4.258994
6.579999,-3.9581673
6.6705966,-4.190921
6.619153,-4.2157936
6.923284,-4.2424183
7.238494,-4.2829676
7.0326524,-4.2450376
6.5500402,-4.258715
6.9422483,-4.2676573
6.433584,-4.2602077
6.8000503,-4.2764854
6.829535,-4.2768445
6.2316313,-4.314536
6.649517,-4.2922163
6.320218,-4.329917
6.1149697,-4.3548856
5.539976,-4.504932
6.0139265,-4.3788724
5.5118403,-4.50425
4.707874,-4.8202543
5.251767,-4.6187983
4.9018135,-4.7520585
3.2110877,-5.1574907
3.927938,-5.1837997
3.770745,-5.2225275
3.893374,-5.210975
4.4060655,-4.9780283
3.2000554,-5.398973
4.1088843,-5.1333227
3.8698497,-5.2451234
3.6077452,-5.458813
3.4650085,-5.5789027
3.6681921,-5.5403404
3.5955248,-5.585677
3.2601402,-5.819905
3.5545812,-5.6268196
3.2503943,-5.835225
3.564485,-5.633588
3.509759,-5.7047276
3.2257428,-5.9233446
3.2884617,-5.907205
3.3011713,-5.891555
3.2585166,-6.0043073
3.0982597,-6.2841663
3.0863159,-6.3221703
2.9625034,-6.7978163
3.0365946,-6.4700165
2.9660585,-6.8114743
2.9279704,-7.0358944
2.9717388,-6.7758527
2.9616182,-6.859077
2.9310358,-8.509164
2.8955204,-7.676201
2.9060156,-7.2049584
2.8965158,-7.7118134
2.904464,-7.28457
2.9044755,-8.038594
2.9721513,-8.72132
2.9130294,-8.177729
2.860325,-9.284696
3.088073,-9.598632
2.7999442,-9.238942
3.1182573,-9.767235
3.1347473,-9.853253
3.1986244,-10.267774
3.122133,-9.84966
3.298981,-10.66051
3.1479874,-9.994176
3.157335,-10.025925
3.2039115,-10.259961
3.3052075,-10.668782
3.3219302,-10.722181
3.3688624,-10.894686
3.510093,-11.463989
3.3919191,-10.966922
3.3795922,-10.908195
3.4988165,-11.3655615
3.463281,-11.225181
4.2546396,-10.55775
4.267557,-10.463904
3.5311313,-11.587261
3.614406,-11.854057
3.6225927,-12.731034
3.7776654,-11.910392
3.7358687,-11.932112
3.6052458,-12.071999
3.61518,-13.013043
3.6186852,-12.544475
3.6151993,-13.04249
3.626786,-12.516912
3.6167448,-13.023838
3.5286546,-13.827619
3.6410556,-12.618261
3.5060968,-13.992903
3.605369,-13.201931
3.534141,-13.719871
3.6235104,-13.139861
3.4595306,-14.299291
3.4585648,-14.303525
3.5051787,-13.887415
3.0525165,-15.751726
4.3838854,-14.290635
4.4314466,-14.073584
3.3204415,-14.962677
2.9029813,-16.001472
3.2250953,-15.171572
3.2132442,-15.17499
2.9862878,-15.663208
2.7373269,-16.194662
2.5833502,-14.746204
2.5687854,-14.791157
2.8900425,-15.823693
2.3074062,-16.875626
2.4038448,-16.70483
2.7226143,-16.110506
2.203506,-17.024477
2.0282395,-17.25392
2.5443256,-16.468378
1.6962891,-17.803335
2.144532,-17.042847
1.998045,-17.242971
1.5474586,-17.979292
1.788486,-17.489883
1.5875224,-17.774529
1.644727,-17.655558
2.3226333,-16.789234
2.010091,-17.148272
1.8564812,-17.321
1.3462987,-17.879868
0.056497443,-18.977217
1.4819828,-17.647882
1.1046242,-17.983326
1.6376457,-17.415508
1.2525185,-17.76409
0.9812191,-18.005444
-0.36969897,-19.020344
1.1125153,-17.825422
1.1041915,-17.832544
0.5685312,-18.104603
-0.036212493,-18.367554
-0.938089,-18.856316
-0.8998249,-18.707933
-0.60429734,-18.570803
-0.21389839,-18.380766
-0.2494227,-18.394302
-0.59348464,-18.530903
-0.42921942,-18.45011
-0.8944556,-18.641815
-1.4291501,-18.701073
-1.33993,-18.679829
-1.154344,-18.629028
-0.8991709,-18.520645
-2.914738,-18.476082
-1.6864016,-18.65559
-1.6578157,-18.653622
-2.0525515,-18.601616
-1.8898239,-18.63336
-2.2043533,-18.573072
-2.238436,-18.565311
-2.6805956,-18.442198
-3.2428348,-18.279028
-3.4351342,-18.193731
-2.5441923,-18.72306
-3.4417222,-18.171844
-2.9357905,-18.361649
-3.262438,-18.247152
-3.2472782,-18.241604
-4.054645,-17.784817
-3.7797291,-17.950924
-2.57959,-18.78836
-3.2902064,-18.210012
-3.7576077,-17.928743
-3.651437,-18.011513
-4.3151193,-17.424753
-3.6919637,-17.975044
